Discharge_ID,Formula_dcg,Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_dcg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Calculated_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
2018,Na0.67Fe0.5Mn0.5OF,5,2.92572333333,90,194,3,1.97,403.43,550.894523160763,2.7275204359673,0.182561307901907,13.355402298845,5.75696604770991,0.792937804868995,42.7696396884675,1.15305630006905,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,1811,6,2,5,-2.84942054748535,0.05,-1.16024518013,-2.87283611297607
2024,Na0.67V0.5Mn0.5OF,5,2.989886667,90,194,3,1.97,403.43,601.575722070845,2.7275204359673,0.182561307901907,13.6660290018422,6.2024367246026,0.792937804868995,45.8879344267164,1.18275434519523,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,2183,5,2,7,1.32343220710754,0.14,-1.18756639957428,-3.33395719528198
2002,Na0.67Ti0.5Mn0.5OF,5,3.03159,90,194,3,1.97,385.93,568.605694822888,2.7275204359673,0.182561307901907,14.1673913996624,6.3509269502335,0.792937804868995,46.9273660061327,1.19611846550201,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,1941,5,2,8,1.43917274475098,0.28,-1.24859774112701,-3.7513964176178
2016,Na0.67Mn0.5Cu0.5OF,5,2.930476667,90,194,3,1.97,401.43,489.146566757493,2.7275204359673,0.318801089918256,13.4017238247305,5.31149537081722,0.792937804868995,42.7696396884675,1.14266198427489,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,1519,10,2,5,-0.542479276657105,0.33,-0.924315571784973,-2.83126950263977
2027,Na0.67Cr0.5Mn0.5OF,5,2.961246667,90,194,3,1.97,403.43,601.167002724796,2.7275204359673,0.318801089918256,13.4180725985725,6.05394649897171,0.792937804868995,43.8090712678838,1.1782996384263,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,2180,5,2,6,-1.5773720741272,0.46,-1.17947244644165,-3.15690636634827
2005,Na0.67V0.5Ni0.5OF,5,2.928296667,90,194,3,1.97,407.43,630.049836512262,2.7275204359673,0.182561307901907,13.6431970935452,5.75696604770991,0.792937804868995,43.6605810422529,1.1292978639681,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,2183,8,2,7,0.363126993179321,0.53,-1.24900591373444,-3.23523163795471
2015,Na0.67V0.5Cr0.5OF,5,2.956316667,90,194,3,1.97,409.43,691.630217983651,2.7275204359673,0.318801089918256,13.7617257038995,6.3509269502335,0.792937804868995,45.8879344267164,1.16642042037583,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,2183,5,2,7,0.733022212982178,0.54,-1.22306537628174,-3.28115439414978
2013,Na0.67V0.5Fe0.5OF,5,2.968786667,90,194,3,1.97,409.43,641.357738419619,2.7275204359673,0.182561307901907,13.6990554041719,6.05394649897171,0.792937804868995,44.8485028473001,1.14117708201858,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,2183,6,2,7,0.625864744186401,0.65,-1.10203409194946,-2.94772267341614
2022,Na0.67Ti0.5V0.5OF,5,3.012946667,90,194,3,1.97,391.93,659.068910081744,2.7275204359673,0.182561307901907,14.5110445049894,6.6479074014953,0.792937804868995,49.0062291649652,1.18423924745154,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,2183,3,2,8,1.12939381599426,0.82,-1.27323412895203,-3.72739601135254
2008,Na0.67V0.5Cu0.5OF,5,2.933366667,90,194,3,1.97,407.43,579.609782016349,2.7275204359673,0.318801089918256,13.7453769300575,5.60847582207901,0.792937804868995,44.8485028473001,1.13078276622441,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,2183,10,2,7,0.421042680740356,0.97,-1.24464476108551,-3.24367117881775
2003,Na0.67Ti0.5Cr0.5zOF,5,2.99809,90,194,3,1.97,391.93,658.660190735695,2.7275204359673,0.318801089918256,14.2630881017196,6.4994171758644,0.792937804868995,46.9273660061327,1.17978454068261,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,2180,5,2,8,0.740898609161377,1.08,-1.29353630542755,-3.70572781562805
2004,Na0.67Ti0.5Fe0.5OF,5,3.001566667,90,194,3,1.97,391.93,608.387711171662,2.7275204359673,0.182561307901907,14.2004178019921,6.2024367246026,0.792937804868995,45.8879344267164,1.15454120232536,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,1941,6,2,8,1.27331924438477,1.1,-1.06158852577209,-3.00689768791199
2023,Na0.67Ti0.5Co0.5OF,5,2.971343333,90,194,3,1.97,374.43,602.529400544959,2.7275204359673,0.182561307901907,14.1343415077142,6.05394649897171,0.792937804868995,44.996993072931,1.14711669104381,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,1941,7,2,8,-0.859610557556152,1.36,-1.33083045482636,-3.6659734249115
2011,Na0.67Ti0.5Cu0.5OF,5,2.9975946667,90,194,3,1.97,389.93,546.639754768392,2.7275204359673,0.318801089918256,14.2467393278777,5.75696604770991,0.792937804868995,45.8879344267164,1.14414688653119,2.2318080912324,0.434333909970376,0.743936030410798,0.78104373779596,1941,10,2,8,0.72060751914978,1.89,-1.29424011707306,-3.7048454284668
2000,Na0.67Ti0.5Ni0.5OF,5,2.963113333,90,194,3,1.97,389.93,597.079809264305,2.7275204359673,0.182561307901907,14.1445594913654,5.90545627334081,0.792937804868995,44.7000126216692,1.14266198427489,2.2318080912324,0.298465353518105,0.743936030410798,0.78104373779596,1941,8,2,8,-1.48442268371582,1.992,-1.34256970882416,-3.65294408798218
